paper_id,0,1,2,3,4,5,decision
wKhUPzqVap6,7.0,6.0,7.0,,,,Accept
yKYCwTvl8eU,5.0,6.0,7.0,,,,Accept
JoukmNwGgsn,7.0,6.0,5.0,5.0,,,Accept
dYhB_alLyCO,7.0,7.0,7.0,6.0,,,Accept
VeQBBm1MmTZ,5.0,6.0,7.0,,,,Accept
JLweqJeqhSq,6.0,6.0,6.0,7.0,,,Accept
oUigTwc7Cw5,4.0,7.0,8.0,8.0,,,Accept
eV4JI-MMeX,6.0,7.0,6.0,,,,Accept
MHE27tjD8m3,7.0,6.0,3.0,3.0,,,Accept
X3RuacCx1R,8.0,7.0,5.0,,,,Accept
Q_WPshXgGI9,7.0,6.0,6.0,,,,Accept
jXgbJdQ2YIy,6.0,6.0,7.0,7.0,,,Accept
mCzMqeWSFJ,5.0,6.0,6.0,6.0,,,Accept
8gjwWnN5pfy,6.0,4.0,6.0,,,,Accept
pV7f1Rq71I5,7.0,4.0,7.0,6.0,,,Accept
6rVXMHImDzv,6.0,6.0,6.0,5.0,,,Accept
dgWo-UyVEsa,7.0,8.0,8.0,7.0,,,Accept
rUb6iKYrgXQ,8.0,7.0,7.0,,,,Accept
lWq3KDEIXIE,7.0,7.0,7.0,3.0,,,Accept
KMaI40_UaGw,7.0,7.0,7.0,,,,Accept
NgwrhCBPTVk,6.0,7.0,7.0,4.0,,,Accept
TVlKuUk-uj9,5.0,6.0,5.0,6.0,,,Accept
8xccCiF9JQ6,6.0,7.0,6.0,7.0,,,Accept
FR--mkQu0dw,8.0,6.0,7.0,,,,Accept
znbTxnBPlx,5.0,7.0,5.0,,,,Accept
51f5sPXJD_E,4.0,7.0,7.0,,,,Accept
zKBbP3R86oc,6.0,5.0,8.0,,,,Accept
CIaUMANM6gQ,6.0,4.0,7.0,,,,Accept
e8PVEkSa4Fq,5.0,7.0,6.0,5.0,,,Accept
RQ8X_iK3HT5,4.0,7.0,7.0,6.0,,,Accept
Cntmos_Ndf0,6.0,7.0,7.0,,,,Accept
wYGIxXZ_sZx,5.0,6.0,6.0,6.0,,,Accept
JRXgTMqESS,5.0,6.0,7.0,6.0,,,Accept
7yUxTNWyQGf,7.0,7.0,6.0,6.0,,,Accept
2DZ9R7GXLY,6.0,7.0,8.0,,,,Accept
D-X3kH-BkpN,7.0,8.0,5.0,8.0,,,Accept
mwIPkVDeFg,7.0,7.0,4.0,,,,Accept
NiCJDYpKaBj,6.0,6.0,7.0,7.0,,,Accept
zD65Zdh6ZhI,5.0,6.0,8.0,,,,Accept
nyCr6-0hinG,6.0,6.0,6.0,5.0,,,Accept
PQFr7FbGbO,8.0,5.0,7.0,,,,Accept
GyWsthkJ1E2,7.0,6.0,5.0,,,,Accept
ok-SB1kz67Z,4.0,7.0,6.0,3.0,,,Accept
AJzrFyqP0ci,7.0,5.0,4.0,,,,Accept
4L2zYEJ9d_,5.0,6.0,5.0,5.0,,,Accept
f2MyWR-6HrQ,6.0,6.0,8.0,,,,Accept
HXCPA2GXf_,7.0,6.0,7.0,5.0,,,Accept
_gn5djJHKzj,5.0,4.0,6.0,7.0,,,Accept
bx2roi8hca8,6.0,5.0,6.0,,,,Accept
U2s1GFDDihU,6.0,6.0,6.0,6.0,,,Accept
zSkYVeX7bC4,7.0,7.0,7.0,7.0,,,Accept
TItRK4VP9X2,6.0,7.0,7.0,5.0,,,Accept
j9JL96S8Vl,5.0,7.0,6.0,5.0,,,Accept
Fhty8PgFkDo,3.0,6.0,6.0,7.0,,,Accept
4G1Sfp_1sz7,5.0,6.0,6.0,,,,Accept
Uynr3iPhksa,6.0,6.0,6.0,,,,Accept
lArVAWWpY3,7.0,7.0,7.0,7.0,,,Accept
xz-2eyIh7u,7.0,6.0,6.0,7.0,,,Accept
gIGeujOKfyV,5.0,7.0,7.0,,,,Accept
xOK40an4ag1,7.0,8.0,7.0,6.0,,,Accept
06OVtS901hF,7.0,7.0,4.0,,,,Accept
zdmYnIRXvKS,2.0,6.0,6.0,,,,Accept
HLzjd09oRx,7.0,7.0,6.0,7.0,,,Accept
GeT7TSy1_hL,7.0,7.0,7.0,6.0,,,Accept
9XQa6cgLo21,6.0,3.0,7.0,,,,Accept
OFsja-NZGbY,7.0,6.0,7.0,6.0,4.0,,Accept
39XK7VJ0sKG,6.0,8.0,,,,,Accept
wwWCZ7sER_C,6.0,6.0,6.0,6.0,,,Accept
bot35zOudq,5.0,7.0,7.0,,,,Accept
b-WnRS7kSEN,6.0,3.0,6.0,,,,Accept
e8EkYPDHrsY,4.0,7.0,5.0,7.0,,,Accept
5HaIds3ux5O,6.0,8.0,7.0,9.0,,,Accept
monPF76G5Uv,7.0,6.0,6.0,7.0,,,Accept
dZEZu7zxJBF,6.0,7.0,7.0,6.0,,,Accept
dix1iktX7Qt,6.0,5.0,6.0,7.0,,,Accept
RczPtvlaXPH,8.0,6.0,7.0,,,,Accept
4B7azgAbzda,6.0,5.0,8.0,,,,Accept
G5ADoRKiTyJ,9.0,6.0,6.0,3.0,,,Accept
7nypt7cjNL,7.0,6.0,5.0,,,,Accept
bAE1y8wG-ng,7.0,8.0,7.0,,,,Accept
Vu-B0clPfq,7.0,7.0,6.0,6.0,,,Accept
ZBlaix34YX,6.0,6.0,6.0,,,,Accept
wTp4KgVIJ5,6.0,6.0,6.0,,,,Accept
L3uTDctm3s9,6.0,7.0,7.0,,,,Accept
5TfqL2gWdV9,6.0,5.0,5.0,,,,Accept
EZQnauHn-77,7.0,8.0,7.0,,,,Accept
sn6BZR4WvUR,8.0,4.0,6.0,6.0,,,Accept
hw-n6BUmiyI,7.0,6.0,8.0,7.0,,,Accept
UmvSlP-PyV,9.0,8.0,8.0,7.0,,,Accept
HjNn9oD_v47,7.0,4.0,7.0,4.0,,,Accept
dXiGWqBoxaD,7.0,5.0,5.0,6.0,,,Accept
d-kvI4YdNu,6.0,6.0,4.0,7.0,,,Accept
bdfJCeWDKUB,7.0,7.0,7.0,2.0,,,Accept
IbBHnPyjkco,6.0,7.0,5.0,,,,Accept
7SEi-ISNni7,7.0,7.0,6.0,5.0,,,Accept
L8pZq2eRWvX,6.0,6.0,6.0,,,,Accept
fDWNnSiHeka,5.0,6.0,5.0,,,,Accept
Vhd-jh9B8Hc,7.0,7.0,6.0,,,,Accept
Tfb73TeKnJ-,8.0,5.0,7.0,,,,Accept
6QvmtRjWNRy,5.0,5.0,6.0,,,,Accept
ZXoSAAlBnW8,7.0,4.0,6.0,3.0,,,Accept
uPdS_7pdA9p,6.0,7.0,7.0,,,,Accept
QLPzCpu756J,6.0,9.0,7.0,6.0,,,Accept
iBBcRUlOAPR,7.0,8.0,8.0,8.0,,,Accept
H88qfUs3U2W,6.0,5.0,5.0,7.0,5.0,,Accept
TThSwRTt4IB,6.0,6.0,6.0,5.0,,,Accept
yoBaCtx_a3,5.0,8.0,3.0,7.0,,,Accept
NENo__bExYu,5.0,5.0,5.0,7.0,,,Accept
7WvNQz9SWH2,5.0,6.0,6.0,7.0,,,Accept
IRSyuxfYNb,7.0,6.0,5.0,7.0,,,Accept
rJjJda5q0E,6.0,6.0,7.0,,,,Accept
-zBN5sBzdvr,6.0,6.0,3.0,7.0,,,Accept
AK6S9MZwM0,6.0,5.0,6.0,5.0,,,Accept
IU3nj1tqwyY,7.0,7.0,7.0,,,,Accept
5OWV-sZvMl,8.0,7.0,5.0,6.0,6.0,,Accept
LzbrVf-l0Xq,8.0,6.0,7.0,,,,Accept
j0J9upqN5va,6.0,7.0,5.0,6.0,,,Accept
YCniF6_3Jb,7.0,5.0,6.0,,,,Accept
AODVskSug8,6.0,6.0,6.0,5.0,,,Accept
57ZKV2YuwjL,5.0,4.0,7.0,6.0,,,Accept
mq-8p5pUnEX,7.0,6.0,5.0,5.0,,,Accept
owDcdLGgEm,6.0,5.0,6.0,,,,Accept
XmK56zbGeCp,7.0,6.0,4.0,6.0,,,Accept
yjWir-w3gki,5.0,5.0,7.0,6.0,,,Accept
4LZo68TuF-4,4.0,7.0,7.0,,,,Accept
w6tBOjPCrIO,7.0,6.0,7.0,7.0,,,Accept
rYkGxHPnCIf,6.0,7.0,7.0,5.0,,,Accept
FlWdTyUznCc,7.0,6.0,5.0,,,,Accept
XVfOai2ytN1,6.0,1.0,7.0,,,,Accept
49TS-pwQWBa,6.0,5.0,5.0,7.0,,,Accept
7yJMZwhIC2k,7.0,6.0,7.0,,,,Accept
fRWwcgfXXZ,8.0,6.0,6.0,,,,Accept
uytgM9N0vlR,6.0,7.0,8.0,3.0,4.0,,Accept
CMcptt6nFaQ,6.0,6.0,5.0,7.0,,,Accept
kCtnkLv-_W0,5.0,7.0,7.0,,,,Accept
U4BUMoVTrB2,4.0,7.0,8.0,,,,Accept
ITXgYOFi8b,5.0,6.0,3.0,7.0,,,Accept
IQIY2LASzYx,6.0,6.0,5.0,6.0,,,Accept
e2gRdexoTZf,8.0,8.0,8.0,8.0,,,Accept
AiNrnIrDfD9,6.0,6.0,4.0,7.0,,,Accept
FDmIo6o09H,5.0,6.0,7.0,7.0,,,Accept
wFwSFojKu6D,4.0,4.0,5.0,6.0,,,Accept
JJCnsgk4OIS,5.0,7.0,7.0,,,,Accept
7vDt4_ulNyB,3.0,6.0,6.0,6.0,,,Accept
Ry9iNlpUy1-,7.0,6.0,6.0,6.0,,,Accept
H3Gv7XEGzYV,4.0,5.0,8.0,4.0,,,Accept
WG3vmsteqR_,7.0,8.0,6.0,8.0,,,Accept
QSNoFvdIL41,5.0,5.0,7.0,6.0,,,Accept
7YwwfU3DqKI,6.0,6.0,8.0,,,,Accept
jF7u0APnGOv,6.0,7.0,6.0,,,,Accept
thgItcQrJ4y,7.0,3.0,8.0,,,,Accept
seYcx6CqPe,8.0,7.0,6.0,,,,Accept
xqYGGRt7kM,7.0,8.0,6.0,6.0,,,Accept
G4GpqX4bKAH,6.0,6.0,7.0,,,,Accept
r0bjBULkyz,7.0,6.0,9.0,6.0,,,Accept
KJemAi9fymT,5.0,6.0,5.0,7.0,,,Accept
ZaDlbaahOqG,5.0,4.0,8.0,,,,Accept
Jz-kcwIJqB,6.0,6.0,6.0,5.0,,,Accept
GaLgQ5_CZwB,4.0,4.0,8.0,7.0,,,Accept
VM7u8ecLrZV,5.0,5.0,6.0,,,,Accept
UavQ9HYye6n,6.0,6.0,7.0,3.0,,,Accept
OZKBReUF-wX,7.0,4.0,7.0,7.0,,,Accept
-jnE7sxuMm,7.0,6.0,5.0,4.0,,,Accept
K_LtkDGdonK,4.0,7.0,5.0,,,,Accept
OYqCR-f-dg,7.0,7.0,5.0,5.0,,,Accept
-5rFUTO2NWe,5.0,8.0,7.0,6.0,,,Accept
VeXBywV9FV,7.0,7.0,8.0,,,,Accept
K8JngctQ2Tu,5.0,7.0,4.0,,,,Accept
tIZtD2kZ6zx,7.0,2.0,6.0,6.0,,,Accept
0e0es11XAIM,7.0,8.0,7.0,8.0,,,Accept
lXuZaxEaI7,7.0,6.0,7.0,4.0,,,Accept
y--ZUTfbNB,8.0,7.0,8.0,,,,Accept
OGGQs4xFHrr,8.0,7.0,3.0,,,,Accept
0Oy3PiA-aDp,6.0,4.0,7.0,,,,Accept
XUvSYc6TqDF,7.0,5.0,8.0,7.0,,,Accept
v6NNlubbSQ,6.0,7.0,6.0,,,,Accept
2dgB38geVEU,8.0,4.0,5.0,6.0,,,Accept
1uSzacpyWLH,7.0,7.0,4.0,,,,Accept
O1me2tPd_tr,6.0,3.0,5.0,7.0,,,Accept
dwKwB2Cd-Km,6.0,3.0,5.0,6.0,,,Accept
lHy09zPewmD,6.0,6.0,7.0,,,,Accept
i9XrHJoyLqJ,6.0,6.0,7.0,,,,Accept
bt25vx3aW_,5.0,6.0,5.0,5.0,,,Accept
4tGggvizjd8,5.0,4.0,6.0,8.0,,,Accept
UFTcdcJrIl2,7.0,7.0,6.0,,,,Accept
_33ynl9VgCX,6.0,9.0,6.0,6.0,,,Accept
5btWTw1vcw1,8.0,7.0,7.0,7.0,,,Accept
yCJVkELVT9d,6.0,7.0,7.0,,,,Accept
cV03Zw0V-3J,6.0,6.0,6.0,,,,Accept
OTKJttKN5c,7.0,7.0,6.0,5.0,,,Accept
rG0jm74xtx,5.0,5.0,7.0,,,,Accept
7ilJhkpm1H,5.0,8.0,7.0,,,,Accept
yhlMZ3iR7Pu,5.0,6.0,5.0,5.0,,,Accept
KtDdr1zUE_1,5.0,5.0,6.0,6.0,,,Accept
s6ygs1UCOw1,6.0,6.0,6.0,5.0,6.0,,Accept
sPNtVVUq7wi,7.0,7.0,6.0,6.0,6.0,,Accept
s71h4wo9bFI,4.0,7.0,7.0,5.0,,,Accept
W7HvKO1erY,4.0,6.0,6.0,,,,Accept
Xo8_yHyw4S,5.0,5.0,6.0,6.0,,,Accept
9ZWgrozGP0,6.0,6.0,5.0,4.0,,,Accept
kY1RbKE7DWE,7.0,7.0,7.0,5.0,,,Accept
8gL4It6zjsh,6.0,6.0,6.0,8.0,,,Accept
7uIGl1AB_M_,6.0,7.0,5.0,,,,Accept
LTCBavFWp5C,7.0,6.0,8.0,,,,Accept
9-8YT5G36g-,5.0,6.0,7.0,4.0,5.0,,Accept
DotEQCtY67g,5.0,5.0,5.0,7.0,,,Accept
cYPja_wj9d,6.0,7.0,7.0,8.0,,,Accept
FvdOlVWL-w,6.0,6.0,6.0,,,,Accept
OZEmgSbRQW,5.0,5.0,7.0,,,,Accept
ccXKXStATD,7.0,5.0,6.0,7.0,,,Accept
gERv_uy69IA,7.0,6.0,7.0,7.0,,,Accept
qmy23tNBvbh,4.0,8.0,5.0,7.0,,,Accept
Ikl-prGbDFU,7.0,5.0,5.0,7.0,,,Accept
q5h7Ywx-sS,5.0,6.0,5.0,7.0,,,Accept
5Cpune8BTWj,7.0,6.0,6.0,,,,Accept
wu1Za9dY1GY,6.0,6.0,5.0,,,,Accept
Fd05J4Bu5Sp,5.0,5.0,6.0,6.0,,,Accept
ejkwDKPowQl,7.0,6.0,5.0,6.0,,,Accept
GRd5UCkkXcV,7.0,7.0,7.0,5.0,,,Accept
KTOcrOR5mQ9,7.0,6.0,4.0,5.0,,,Accept
00jwOr7UA4P,6.0,7.0,7.0,7.0,,,Accept
ccyZEIAiFwb,6.0,3.0,6.0,,,,Accept
xqyEG7EhTZ,5.0,5.0,6.0,6.0,,,Accept
crRhj1Y2wv,6.0,6.0,6.0,7.0,,,Accept
uOJZ_zU9qZm,7.0,3.0,2.0,,,,Accept
lSqaDG4dvdt,5.0,6.0,6.0,6.0,,,Accept
rO6UExXrFzz,7.0,7.0,6.0,,,,Accept
VHmdFPy4U_u,7.0,7.0,7.0,,,,Accept
X0CKM7QV5k,4.0,6.0,8.0,6.0,,,Accept
JavFPcsscd5,7.0,4.0,4.0,7.0,,,Accept
DRjUkfExCix,5.0,3.0,5.0,6.0,,,Accept
VB_mBqL4VW-,6.0,7.0,6.0,6.0,,,Accept
Y11PmIjgyO,6.0,6.0,7.0,7.0,,,Accept
I47eFCKa1f3,6.0,6.0,6.0,,,,Accept
J7zY9j75GoG,6.0,6.0,6.0,7.0,5.0,,Accept
Vbj5H7-lKfs,6.0,5.0,5.0,3.0,,,Accept
cZN9_dF40i,6.0,7.0,4.0,7.0,,,Accept
Y1sWzKW0k4L,5.0,6.0,5.0,6.0,,,Accept
tz1PRT6lfLe,8.0,7.0,4.0,,,,Accept
Jk8RVjnHlsE,5.0,6.0,6.0,,,,Accept
LpgG0C6Y75,6.0,7.0,5.0,,,,Accept
UxDO_gOhxhO,5.0,6.0,7.0,3.0,,,Accept
AiY6XvomZV4,6.0,6.0,8.0,4.0,,,Accept
0Fe7bAWmJr,6.0,8.0,7.0,7.0,,,Accept
a4zg0jiuVi,4.0,6.0,8.0,5.0,,,Accept
bA8CYH5uEn_,6.0,5.0,5.0,5.0,,,Accept
LP0malvd4x,7.0,8.0,6.0,,,,Accept
g-OkeNXPy-X,7.0,7.0,6.0,,,,Accept
c9I_NArDIjD,6.0,5.0,6.0,,,,Accept
eYfIM88MTUE,3.0,5.0,7.0,8.0,,,Accept
AlpR6dzKjfy,7.0,7.0,3.0,7.0,,,Accept
7lf58jWnDIS,7.0,5.0,5.0,6.0,,,Accept
EXMjvwoqJBA,5.0,8.0,5.0,4.0,,,Accept
q41xK9Bunq1,6.0,7.0,6.0,,,,Accept
Rgz_prESe-b,6.0,7.0,7.0,3.0,,,Accept
wQVjGP5NbP9,7.0,7.0,7.0,6.0,,,Accept
BRZos-8TpCf,6.0,4.0,7.0,6.0,,,Accept
HFkxZ_V0sBQ,5.0,6.0,6.0,7.0,,,Accept
_56PoS9IRM-,6.0,7.0,6.0,7.0,,,Accept
UdgtTVTdswg,7.0,8.0,7.0,7.0,,,Accept
UnygcA2BVzW,7.0,8.0,7.0,6.0,,,Accept
BCBac5kkg5G,5.0,5.0,7.0,5.0,,,Accept
57Ryl7lLD4h,6.0,7.0,5.0,7.0,,,Accept
KzC7Pejhp3z,6.0,7.0,6.0,,,,Accept
jglXPY6gH-1,5.0,3.0,7.0,6.0,,,Accept
xbgtFOO9J5D,4.0,5.0,6.0,6.0,,,Accept
7JqqnRrZfz6,8.0,9.0,8.0,8.0,,,Accept
fdyxLGHE6bU,4.0,3.0,5.0,,,,Accept
GNHyNOR8Sn,8.0,6.0,,,,,Accept
TIXwBZB3Jl6,8.0,7.0,6.0,8.0,,,Accept
NnuYZ1el24C,8.0,7.0,6.0,,,,Accept
vjKIKdXijK,5.0,5.0,8.0,,,,Accept
lYHUY4H7fs,4.0,7.0,6.0,7.0,,,Accept
tJBYkwVDv5,7.0,7.0,6.0,,,,Accept
wGF5mreJVN,6.0,5.0,5.0,,,,Accept
aqALH2UAwQH,7.0,7.0,6.0,7.0,,,Accept
-IHPcl1ZhF5,6.0,6.0,6.0,5.0,,,Accept
k98U0cb0Ig,6.0,6.0,5.0,,,,Accept
i3ewAfTbCxJ,6.0,7.0,7.0,,,,Accept
1beC9_dmOQ0,6.0,6.0,6.0,7.0,,,Accept
Ryy7tVvBUk,7.0,7.0,4.0,7.0,,,Accept
sWNT5lT7l9G,6.0,7.0,6.0,,,,Accept
h3jZCLjhtmV,8.0,6.0,5.0,8.0,,,Accept
